題號,章節,題目,英文,YouTube連結,開始時間,結束時間,影片重點
1,腕與手,腕-屈曲,Wrist flexion,,,,
2,腕與手,腕-伸直,Wrist extension,,,,
3,髖關節,髖-單純屈曲,Hip flexion,,,,
4,髖關節,髖-屈曲＋外展＋外轉＋膝屈曲,"Hip flexion, abduction, external rotation with knee flexion",,,,
5,髖關節,髖-伸直＋膝-伸直,Hip extension with knee extension,,,,
6,髖關節,髖-伸直＋膝-屈曲,Hip extension with knee flexion,,,,
7,髖關節,髖-純外展,Hip abduction,,,,
8,髖關節,髖-屈45°外展,Hip abduction in flexion position,,,,
9,髖關節,髖-內收,Hip adduction,,,,
10,髖關節,髖-外轉,Hip external rotation,,,,
11,髖關節,髖-內轉,Hip internal rotation,,,,
12,膝關節,膝-屈曲,Knee flexion,,,,
13,膝關節,膝-伸直,Knee extension,,,,
14,踝與足,踝-蹠屈,Ankle plantarflexion,,,,
15,踝與足,足-背屈＋內翻,Foot dorsiflexion and inversion,,,,
16,踝與足,足-純內翻,Foot inversion,,,,
17,踝與足,足-外翻＋微蹠屈,Foot eversion with plantarflexion,,,,
18,足部動作,大拇趾&腳趾-MTP-屈曲,Hallux and toe MP flexion,,,,
19,足部動作,大拇趾&腳趾-PIP/DIP-屈曲,Hallux and toe DIP and PIP flexion,,,,
20,足部動作,大拇趾&腳趾-MTP/IP-伸直,Hallux and toe MP and IP extension,,,,
21,軀幹核心,頭-伸直,Occipital extension,,,,
22,軀幹核心,頸-伸直,Cervical extension,,,,
23,軀幹核心,頭-屈曲,Occipital flexion,,,,
24,軀幹核心,頸-屈曲,Cervical flexion,,,,
25,軀幹核心,頸-轉動,Cervical rotation,,,,
26,軀幹核心,軀幹-伸直,Trunk extension,,,,
27,軀幹核心,骨盆-上抬,Pelvic hiking,,,,
28,軀幹核心,軀幹-屈曲,Trunk flexion,,,,
29,軀幹核心,軀幹-轉動,Trunk rotation,,,,
